city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
Kolkata,5257,India,Ride A/C,486523,1052918,0.488,1.113,0.462
Алматы,169,Казахстан,auto_econom_karaganda,272986,766893,0.484,1.193,0.356
Kuala Lumpur,5910,Malaysia,auto_econom,264209,875458,0.482,1.264,0.302
Rabat (الرباط),4208,Morocco,auto_econom_dublicate,276090,590077,0.481,1.187,0.468
Bogota,4197,Colombia,moto_econom,196021,636109,0.48,1.192,0.308
Monclova,4381,Mexico,auto_econom,166252,405478,0.468,1.166,0.41
San Jose,5513,Costa Rica,auto_econom,260618,732098,0.467,1.181,0.356
Cape Town,4300,South Africa,auto_econom_without_option_4_pass,521728,1423023,0.462,1.183,0.367
Kolkata,5257,India,moto_econom,277988,535083,0.46,1.147,0.52
Chandigarh,5249,India,Ride A/C,275462,633086,0.457,1.124,0.435
Alger (الجزائر العاصمة),9417,Algeria,auto_econom,283751,897428,0.452,1.181,0.316
Cairo (القاهرة),10155,Egypt,moto_econom,367969,1057879,0.446,1.181,0.348
Leon de los Aldama,4229,Mexico,auto_econom,109299,372037,0.441,1.141,0.294
Chandigarh,5249,India,moto_econom,312759,676226,0.437,1.15,0.463
Vientiane (Capital),6267,Laos,auto_econom,162482,346803,0.423,1.261,0.469
Guadalajara,4225,Mexico,auto_econom,138788,508169,0.4,1.142,0.273
Harare,5473,Zimbabwe,auto_econom,187083,427758,0.386,1.243,0.437
Casablanca (الدار البيضاء),4209,Morocco,auto_econom_dublicate,329908,825556,0.368,1.169,0.4
Mexico city,4143,Mexico,auto_econom,265051,1219536,0.35,1.132,0.217
Jakarta and Jabodetabek area,5676,Indonesia,moto_econom,392763,706287,0.339,1.12,0.556
Surabaya,5667,Indonesia,moto_econom,187133,413462,0.316,1.135,0.453
Metro Manila,5421,Philippines,order_title_ride_philippines,87273,792896,0.067,1.065,0.11
Одесса,763,Украина,auto_econom_Ukraine,0,335949,0.0,,0.0
