city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
San Nicolas de Buenos Aires,24866,Mexico,auto_econom,0,1,0,,0
Otanche,23024,Colombia,auto_econom,0,1,0,,0
Bom Jesus dos Perdões,32430,Brazil,auto_econom,0,1,0,,0
Luis Antonio,38256,Brazil,auto_econom,0,1,0,,0
Cuautitlan de Garcia Barragan,24639,Mexico,auto_econom,0,1,0,,0
São Pedro do Iguaçu,43518,Brazil,auto_econom,0,1,0,,0
San Martín,42782,Colombia,auto_econom,0,1,0,,0
Canalete,23131,Colombia,auto_econom,0,1,0,,0
Mesetas,22981,Colombia,auto_econom,0,1,0,,0
Camanducaia,21663,Brazil,auto_econom,0,1,0,,0
Riofrío,23207,Colombia,auto_econom,0,1,0,,0
Trindade,22539,Brazil,auto_econom,0,1,0,,0
Hostotipaquillo,24400,Mexico,auto_econom,0,1,0,,0
Augusto Corrêa,21554,Brazil,auto_econom,0,1,0,,0
Mutatá,23166,Colombia,auto_econom,0,1,0,,0
Madero,24663,Mexico,auto_econom,0,1,0,,0
Três Rios,22538,Brazil,auto_econom,0,1,0,,0
Boaco,8151,Nicaragua,moto_econom,1,3,0.29,1.096,0.333
Santa Fé do Sul,22361,Brazil,auto_econom,0,1,0,,0
Capinópolis,32422,Brazil,auto_econom,0,1,0,,0
Bento Gonçalves,5072,Brazil,moto_econom,0,1,0.125,1.041,0
Corrente,21768,Brazil,auto_econom,0,1,0,,0
San Martín de Loba,23128,Colombia,auto_econom,0,1,0,,0
Virgolândia,43567,Brazil,auto_econom,0,1,0,,0
Confresa,21758,Brazil,auto_econom,0,1,0,,0
Pitangui,22265,Brazil,auto_econom,0,1,0,,0
Rincao,38285,Brazil,auto_econom,0,1,0,,0
Ilhota,42891,Brazil,auto_econom,0,1,0,,0
La Apartada,23088,Colombia,auto_econom,0,1,0,,0
Cruz Alta,21778,Brazil,auto_econom,0,1,0,,0
Lagoa da Prata,22015,Brazil,auto_econom,0,1,0,,0
Giruá,32449,Brazil,auto_econom,0,1,0,,0
Salamina,23339,Colombia,auto_econom,0,1,0,,0
Pedras de Fogo,22225,Brazil,auto_econom,0,1,0,,0
La Cruz,23213,Colombia,auto_econom,0,1,0,,0
Nova Petrópolis,32268,Brazil,auto_econom,0,1,0,,0
Tupaciguara,32185,Brazil,auto_econom,0,1,0,,0
Santo Estêvão,22397,Brazil,auto_econom,0,1,0,,0
Ascension,24542,Mexico,auto_econom,0,1,0,,0
Aripuanã,32178,Brazil,auto_econom,0,1,0,,0
Guadalupe y Calvo,24294,Mexico,auto_econom,0,1,0,,0
Espigão d'Oeste,21816,Brazil,auto_econom,0,1,0,,0
Buri,32271,Brazil,auto_econom,0,1,0,,0
Tantoyuca,5271,Mexico,auto_econom,0,1,0,,0
Itapeva,21952,Brazil,auto_econom,0,1,0,,0
Papantla de Olarte,5268,Mexico,auto_econom,0,1,0,,0
San Pablo de Borbur,22954,Colombia,auto_econom,0,1,0,,0
Guaíra,21860,Brazil,auto_econom,0,1,0,,0
Campoalegre,7503,Colombia,auto_econom,0,1,0,,0
Chennai,5252,India,moto_econom,2,7,0.255,1.168,0.286
Regeneração,32358,Brazil,auto_econom,0,1,0,,0
Prata,32199,Brazil,auto_econom,0,1,0,,0
Angangueo,24460,Mexico,auto_econom,0,1,0,,0
Jalpa,24772,Mexico,auto_econom,0,1,0,,0
Apatzingán de la Constitución,8101,Mexico,auto_econom,0,1,0,,0
Linares,23058,Colombia,auto_econom,0,1,0,,0
Serra Talhada,22481,Brazil,auto_econom,0,1,0,,0
